#Transcript position	Transcript coverage profile
0.0	34779.55079038494
1.0	36222.44064396975
2.0	38258.75216763785
3.0	40529.39270113035
4.0	43069.14693051767
5.0	45493.82470352107
6.0	48851.38959072319
7.0	51668.13601748824
8.0	53873.71004559395
9.0	56659.57076794855
10.0	59208.24324093004
11.0	61744.14662552029
12.0	62753.26894506387
13.0	63596.597996434466
14.0	64960.4519759636
15.0	67127.28560014775
16.0	67841.25856430065
17.0	68188.54462674572
18.0	68450.70877846742
19.0	69475.88251122554
20.0	70425.57226629161
21.0	71261.81221672334
22.0	71710.45518569685
23.0	72219.69112576662
24.0	73046.8040043077
25.0	73541.76959087493
26.0	73985.36845219614
27.0	74466.07181089031
28.0	76189.98926904
29.0	77045.77014132105
30.0	76789.70481942478
31.0	77163.85614236325
32.0	77191.55415002961
33.0	76650.28093733797
34.0	76424.37798553273
35.0	75758.62395908327
36.0	74288.3297244463
37.0	74029.65524699177
38.0	73815.2324126618
39.0	73275.7585178998
40.0	72767.61874095126
41.0	71522.24951045844
42.0	71783.33058724787
43.0	73563.69424636093
44.0	73859.98126768509
45.0	75864.10141726326
46.0	76457.27953495664
47.0	77054.45634484122
48.0	77638.53208511962
49.0	78019.75976022691
50.0	78223.02218209395
51.0	78758.97661911513
52.0	78395.00605720886
53.0	78695.66175511124
54.0	79302.4363704428
55.0	79661.52365253904
56.0	79636.34165441825
57.0	80964.76549615232
58.0	81075.9440006008
59.0	80540.01624257455
60.0	80899.79964380723
61.0	80756.18419704017
62.0	80399.61160422048
63.0	79564.35367998107
64.0	79168.7141393383
65.0	78959.46519997205
66.0	79038.90608003232
67.0	78479.20772435756
68.0	77717.29603724425
69.0	77269.4338604454
70.0	77018.19580412429
71.0	77274.55287542527
72.0	76758.36447413957
73.0	75182.56784244545
74.0	74582.0379115645
75.0	73772.66911879521
76.0	71784.62662066026
77.0	69718.64707849814
78.0	69164.48346779993
79.0	68888.80270532015
80.0	68291.71549396115
81.0	67673.9936532336
82.0	66001.10796945494
83.0	64331.47022438165
84.0	61516.91178254859
85.0	60428.84849805271
86.0	57848.15364652661
87.0	55658.68443995468
88.0	53002.56007203513
89.0	50172.384160753565
90.0	46364.652273850385
91.0	41473.16687089132
92.0	37186.99579369079
93.0	30944.709294497003
94.0	26635.756047959396
95.0	21819.32850293005
96.0	16667.66974833544
97.0	11806.27635962028
98.0	7220.657989401595
99.0	2543.632115704723
