#Transcript position	Transcript coverage profile
0.0	150674.3605886404
1.0	157738.3412212112
2.0	165081.87381494037
3.0	171890.05516078122
4.0	178396.74385090187
5.0	185274.6471736511
6.0	192320.39434327857
7.0	199282.13644291688
8.0	205272.01902585884
9.0	210638.76663098697
10.0	215860.26676747133
11.0	220916.79020451463
12.0	224048.52576498958
13.0	226989.61545647218
14.0	230340.22422288937
15.0	234403.49397631816
16.0	236793.9744540669
17.0	238797.66630024218
18.0	240519.9076987689
19.0	242292.9682041288
20.0	244223.45401263284
21.0	245268.39756223228
22.0	246641.51971122788
23.0	248360.65361847405
24.0	249465.58909824834
25.0	250292.24768850213
26.0	251404.68652199258
27.0	252928.82853484034
28.0	255504.97109364724
29.0	257241.62805560956
30.0	257161.9727660401
31.0	258030.8724002525
32.0	257328.0555887561
33.0	256481.7015840186
34.0	256602.0983711162
35.0	256445.19427998745
36.0	254871.02202040932
37.0	254580.45141027652
38.0	253602.7413080863
39.0	253774.06140465234
40.0	253325.06962215208
41.0	252083.95476042514
42.0	252877.60258574263
43.0	255202.0311425612
44.0	255553.75486414583
45.0	256824.86413083147
46.0	257356.98595415417
47.0	257149.2212393184
48.0	257296.7897696604
49.0	256807.21566685027
50.0	256793.83544669926
51.0	257234.15850514465
52.0	256356.01257380605
53.0	256064.02729856037
54.0	255650.47356932028
55.0	255633.1373130417
56.0	256344.33150643896
57.0	258078.80857108775
58.0	258498.19887774315
59.0	257757.0707914619
60.0	258460.30717295237
61.0	258667.40517809452
62.0	258936.5842744179
63.0	258799.76883961735
64.0	258914.6105964446
65.0	258973.16571862396
66.0	258475.28089122506
67.0	257823.5219742526
68.0	256723.31050697443
69.0	255817.43075463158
70.0	255033.19594420338
71.0	255906.34576455687
72.0	256090.292501279
73.0	254827.25161965107
74.0	254919.56910206858
75.0	254875.49555454243
76.0	253439.59307443013
77.0	251608.331872116
78.0	250477.9989192842
79.0	250360.1671849673
80.0	249816.56024229596
81.0	247916.8874539593
82.0	245711.48502607385
83.0	243012.36276799688
84.0	238015.82006979163
85.0	234981.0995745042
86.0	228584.78676600708
87.0	222158.2722628153
88.0	214330.78101715422
89.0	203952.16387034062
90.0	192599.4362328342
91.0	179339.32983461695
92.0	164815.59279149486
93.0	147848.64260892503
94.0	131165.47784882036
95.0	113546.97818495869
96.0	92072.84558133398
97.0	68233.20752680676
98.0	41409.93535958292
99.0	13492.685081783336
